,Date,MarketPrice
487,2015-03-12,2065.95
488,2015-03-13,2053.4
489,2015-03-16,2081.19
490,2015-03-17,2074.28
491,2015-03-18,2099.5
492,2015-03-19,2089.27
493,2015-03-20,2108.1
494,2015-03-23,2104.42
495,2015-03-24,2091.5
496,2015-03-25,2061.05
497,2015-03-26,2056.15
498,2015-03-27,2061.02
499,2015-03-30,2086.24
500,2015-03-31,2067.89
501,2015-04-01,2059.69
502,2015-04-02,2066.96
503,2015-04-03,
504,2015-04-06,2080.62
505,2015-04-07,2076.33
506,2015-04-08,2081.9
507,2015-04-09,2091.18
508,2015-04-10,2102.06
509,2015-04-13,2092.43
510,2015-04-14,2095.84
511,2015-04-15,2106.63
512,2015-04-16,2104.99
513,2015-04-17,2081.18
514,2015-04-20,2100.4
515,2015-04-21,2097.29
516,2015-04-22,2107.96
517,2015-04-23,2112.93
518,2015-04-24,2117.69
519,2015-04-27,2108.92
520,2015-04-28,2114.76
521,2015-04-29,2106.85
522,2015-04-30,2085.51
523,2015-05-01,2108.29
524,2015-05-04,2114.49
525,2015-05-05,2089.46
526,2015-05-06,2080.15
527,2015-05-07,2088.0
528,2015-05-08,2116.1
529,2015-05-11,2105.33
530,2015-05-12,2099.12
531,2015-05-13,2098.48
532,2015-05-14,2121.1
533,2015-05-15,2122.73
534,2015-05-18,2129.2
535,2015-05-19,2127.83
536,2015-05-20,2125.85
537,2015-05-21,2130.82
538,2015-05-22,2126.06
539,2015-05-25,
540,2015-05-26,2104.2
541,2015-05-27,2123.48
542,2015-05-28,2120.79
543,2015-05-29,2107.39
544,2015-06-01,2111.73
545,2015-06-02,2109.6
546,2015-06-03,2114.07
547,2015-06-04,2095.84
548,2015-06-05,2092.83
549,2015-06-08,2079.28
550,2015-06-09,2080.15
551,2015-06-10,2105.2
552,2015-06-11,2108.86
553,2015-06-12,2094.11
554,2015-06-15,2084.43
555,2015-06-16,2096.29
556,2015-06-17,2100.44
557,2015-06-18,2121.24
558,2015-06-19,2109.99
559,2015-06-22,2122.85
560,2015-06-23,2124.2
561,2015-06-24,2108.58
562,2015-06-25,2102.31
563,2015-06-26,2101.49
564,2015-06-29,2057.64
565,2015-06-30,2063.11
566,2015-07-01,2077.42
567,2015-07-02,2076.78
568,2015-07-03,
569,2015-07-06,2068.76
570,2015-07-07,2081.34
571,2015-07-08,2046.68
572,2015-07-09,2051.31
573,2015-07-10,2076.62
574,2015-07-13,2099.6
575,2015-07-14,2108.95
576,2015-07-15,2107.4
577,2015-07-16,2124.29
578,2015-07-17,2126.64
579,2015-07-20,2128.28
580,2015-07-21,2119.21
581,2015-07-22,2114.15
582,2015-07-23,2102.15
583,2015-07-24,2079.65
584,2015-07-27,2067.64
585,2015-07-28,2093.25
586,2015-07-29,2108.57
587,2015-07-30,2108.63
588,2015-07-31,2103.84
589,2015-08-03,2098.04
590,2015-08-04,2093.32
591,2015-08-05,2099.84
592,2015-08-06,2083.56
593,2015-08-07,2077.57
594,2015-08-10,2104.18
595,2015-08-11,2084.07
596,2015-08-12,2086.05
597,2015-08-13,2083.39
598,2015-08-14,2091.54
599,2015-08-17,2102.44
600,2015-08-18,2096.92
601,2015-08-19,2079.61
602,2015-08-20,2035.73
603,2015-08-21,1970.89
604,2015-08-24,1893.21
605,2015-08-25,1867.61
606,2015-08-26,1940.51
607,2015-08-27,1987.66
608,2015-08-28,1988.87
609,2015-08-31,1972.18
610,2015-09-01,1913.85
611,2015-09-02,1948.86
612,2015-09-03,1951.13
613,2015-09-04,1921.22
614,2015-09-07,
615,2015-09-08,1969.41
616,2015-09-09,1942.04
617,2015-09-10,1952.29
618,2015-09-11,1961.05
619,2015-09-14,1953.03
620,2015-09-15,1978.09
621,2015-09-16,1995.31
622,2015-09-17,1990.2
623,2015-09-18,1958.03
624,2015-09-21,1966.97
625,2015-09-22,1942.74
626,2015-09-23,1938.76
627,2015-09-24,1932.24
628,2015-09-25,1931.34
629,2015-09-28,1881.77
630,2015-09-29,1884.09
631,2015-09-30,1920.03
632,2015-10-01,1923.82
633,2015-10-02,1951.36
634,2015-10-05,1987.05
635,2015-10-06,1979.92
636,2015-10-07,1995.83
637,2015-10-08,2013.43
638,2015-10-09,2014.89
639,2015-10-12,2017.46
640,2015-10-13,2003.69
641,2015-10-14,1994.24
642,2015-10-15,2023.86
643,2015-10-16,2033.11
644,2015-10-19,2033.66
645,2015-10-20,2030.77
646,2015-10-21,2018.94
647,2015-10-22,2052.51
648,2015-10-23,2075.15
649,2015-10-26,2071.18
650,2015-10-27,2065.89
651,2015-10-28,2090.35
652,2015-10-29,2089.41
653,2015-10-30,2079.36
