,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
CL,0.504469,0.0239,23.451326,25.31847,67006496768.0,3.14,3.39,7.28,113.40942,17.414,1917750016.0,1431.362,-0.133,0.23684,0.58,81.0,2.9732401,0.053,1.174,79.5
PGR,0.494252,0.0034999999,25.905376,17.50872,70396821504.0,6.88,4.65,0.8,3.9014122,36.431,,40.801,,0.03976,0.297,114.31,0.049629997,-0.032,0.395,120.46
NOC,0.652618,0.014400001,18.752392,16.589418,73997631488.0,28.35,25.08,3.0,6.5399857,9.983,2960750080.0,106.234,-0.056,0.25051,1.088,494.87,0.45716,-0.038,1.296,470.31
TJX,0.91358,0.019299999,19.226868,29.72312,76833406976.0,2.167,3.35,1.5,11.936621,14.026,1109726464.0,227.123,0.114,0.11447,0.492,75.3,0.56863,0.131,1.246,64.41
SYK,1.042145,0.0128999995,21.436577,43.88285,82242093056.0,4.968,10.17,2.79,5.8006067,20.662,1743874944.0,88.376,0.11,0.25798,0.97,242.43,0.14097999,0.046,2.004,218.01
TGT,1.003405,0.026400002,12.675635,12.482521,81259429888.0,13.587,13.38,0.94,5.908996,8.611,1168000000.0,161.026,-0.482,0.09982,0.056,186.79,0.45529,0.04,0.866,169.6
CSX,1.207322,0.0124,19.191011,21.497797,75766194176.0,1.589,1.78,1.24,5.7556868,12.0,2728375040.0,127.502,0.045,0.50893,0.962,35.54,0.29644,0.276,1.163,34.16
D,0.426564,0.0326,19.79661,25.783665,66218078208.0,3.171,4.13,2.92,2.701024,15.293,-4272624896.0,153.049,-0.322,0.50003,0.284,87.81,0.08743,0.106,0.792,81.76
PNC,1.226053,0.036199998,12.194326,16.901602,72668897280.0,10.173,14.1,-2.96,1.4191387,,,,0.396,0.0,,184.23,0.111770004,0.164,,171.94
EOG,1.693486,0.027,11.491902,21.88934,66431119360.0,5.187,9.88,0.39,3.0516582,6.894,3687624960.0,24.707,-0.422,0.42867002,1.153,145.34,0.20694,0.667,1.354,113.54
REGN,0.31077,,13.049571,9.97825,67096080384.0,62.526,47.81,-0.66,3.815389,6.196,5821150208.0,13.56,-0.147,0.57025003,3.953,685.14,0.49752998,0.173,4.757,623.9
MU,1.27799,0.0074,5.414422,9.645566,69808996352.0,6.461,11.51,0.69,1.5190367,3.642,3217250048.0,15.523,0.539,0.55673003,2.348,77.45,0.21663,0.164,3.24,62.32
TFC,1.136653,0.041199997,10.497942,12.038698,68106088448.0,4.238,4.86,3.12,1.094474,,,,-0.06,0.0,,56.28,0.095240004,-0.099,,51.02
ATVI,0.524052,0.0058999998,21.186844,23.883121,62708355072.0,3.371,3.8,2.54,3.6990583,17.584,1775624960.0,20.234,-0.367,0.37693,5.092,94.22,0.14927,-0.223,5.45,80.51
EW,1.142613,,40.27907,44.696774,64880791552.0,2.325,2.58,3.13,11.706657,34.504,1102475008.0,11.488,-0.167,0.33283,2.265,119.65,0.26278,-0.002,3.367,103.92
USB,1.020008,0.039,11.291375,9.721051,71826833408.0,4.983,4.29,2.05,1.5033207,,,,-0.23,0.0,,54.79,0.13245,-0.073,,48.44
DG,0.425713,0.0089,22.388445,24.618317,58359787520.0,10.231,11.25,1.92,9.42839,19.103,1066437504.0,251.816,-0.145,0.107609995,0.053,254.61,0.37245998,0.042,0.969,251.87
EL,0.986802,0.0088,31.695192,32.778854,97315266560.0,8.248,8.53,3.05,16.034636,22.876,1795124992.0,110.523,0.234,0.24724,1.118,304.87,0.53501,0.099,1.755,270.36
AON,0.902511,0.0077,22.682722,73.93222,65370300416.0,4.013,13.08,1.5,29.737396,18.176,2792999936.0,1438.071,0.404,0.31854,0.216,303.92,0.57666,0.034,1.052,296.69
HUM,0.80034,0.0064999997,20.169584,23.602808,62219452416.0,20.509,24.0,1.38,3.8265498,11.507,4852874752.0,85.248,0.204,0.05382,1.209,525.71,0.20723,0.146,1.526,484.07
FIS,0.736057,0.0184,13.600813,279.19443,61204262912.0,0.36,7.39,1.03,1.2994518,19.508,3956375040.0,40.712,,0.29089,0.396,128.8,0.01909,0.083,0.736,100.51
LRCX,1.32269,0.012,13.573259,16.812897,70041870336.0,29.588,36.65,1.69,12.03571,12.231,1792326784.0,79.731,0.095,0.33178002,1.746,575.05,0.74849,0.118,2.691,497.46
WM,0.780332,0.015800001,30.694393,41.19903,71004962816.0,4.12,5.53,2.52,9.899686,15.697,1842125056.0,198.512,0.699,0.2725,0.956,174.36,0.29506,0.123,1.071,169.74
EQIX,0.463175,0.0176,89.17335,145.33206,62066298880.0,4.743,7.73,3.36,5.872616,31.908,2290738432.0,153.617,2.118,0.37530997,1.681,804.36,0.06008,0.096,2.045,689.31
APD,0.841634,0.026099999,22.537022,28.063799,58704138240.0,9.436,11.75,1.96,4.330074,16.28,-14762500.0,51.963,0.117,0.32339,1.628,282.71,0.15753001,0.177,1.95,264.81
CHTR,1.013197,,14.908539,21.245499,83583672320.0,21.943,31.27,0.46,4.908038,7.872,7533000192.0,710.434,0.665,0.40633,0.286,602.26,0.33714,0.062,0.328,466.19
SHW,1.061302,0.0099,23.92059,33.427868,63973203968.0,7.299,10.2,1.84,23.725204,24.53,1130387456.0,562.231,-0.087,0.14643,0.467,275.17,0.69295,0.092,0.87,243.99
ICE,0.902085,0.0149,19.212612,19.669802,60075769856.0,5.421,5.55,2.88,2.779646,15.968,2023500032.0,63.718,0.018,0.61175,0.014,123.83,0.19099002,0.057,1.005,106.63
NSC,1.326096,0.0197,18.938137,22.395214,63320797184.0,11.619,13.74,1.61,4.5597277,12.348,2122749952.0,118.504,0.052,0.50029,0.946,264.26,0.22096,0.161,1.095,260.21
FDX,1.23925,0.0197,9.958297,12.6087675,60741492736.0,18.181,23.02,0.89,2.4355106,9.107,1188749952.0,149.14,-0.694,0.10669,1.314,290.79,0.15582,0.081,1.427,229.24
BSX,0.832694,,22.33155,54.30429,59507576832.0,0.769,1.87,2.18,3.6143327,20.904,,57.861,0.417,0.26400998,,48.6,,0.054,,41.76
SLB,1.942103,0.0189,22.6319,31.692438,51743019008.0,1.164,1.63,0.5,3.8725593,12.774,633249984.0,83.29,1.233,0.20103,0.856,,0.17942,0.202,1.353,36.89
GD,0.896126,0.0222,18.62008,19.895296,64729481216.0,11.652,12.45,1.52,4.110211,13.824,3650500096.0,75.784,0.054,0.13735,0.899,265.0,0.20231001,-0.003,1.397,231.82
FISV,0.816943,,16.686245,55.937824,71278649344.0,1.93,6.47,1.06,2.2551334,14.639,4985874944.0,67.297,1.3,0.34907,0.323,122.76,0.0646,0.098,1.048,107.96
OXY,1.947637,0.007900001,22.651724,,61353213952.0,-1.212,2.9,0.25,6.7339826,6.313,9129875456.0,111.198,,0.53054,0.844,75.21,0.34101,0.577,1.156,65.69
ITW,1.097488,0.0235,23.451044,24.790092,66910011392.0,8.599,9.09,3.02,19.161348,18.223,1553624960.0,219.375,0.0,0.26337,1.146,191.94,0.78303003,0.111,1.732,213.17
ETN,1.15283,0.0218,20.141508,29.002523,59570769920.0,5.153,7.42,1.97,3.729909,19.363,3209750016.0,59.93,0.167,0.17943001,0.529,157.3,0.14009,0.032,0.992,149.45
PXD,1.580246,0.0521,11.452631,36.382164,55779733504.0,6.28,19.95,0.33,2.4049008,6.542,2404124928.0,25.456,,0.43846,1.404,294.67,0.20075001,1.006,1.541,228.48
PSA,0.324393,0.024500001,37.779716,41.385735,60749987840.0,8.371,9.17,1.81,12.123036,25.779,1850915712.0,75.912,0.19,0.71449,0.986,365.92,0.22167999,0.263,1.015,346.44
NEM,0.427415,0.048600003,16.472727,17.855736,36123803648.0,2.537,2.75,,1.5916517,9.391,1846125056.0,28.58,-0.399,0.32661998,1.927,114.41,-0.00823,-0.002,2.818,45.3
